Iteration,Baseline_Accuracy,Method,Prune_Ratio,Accuracy_After_Pruning,Accuracy_After_Finetuning
1,97.95,Random,0.3,97.26,97.9
2,97.95,Random,0.3,97.23,97.75
3,97.95,Random,0.3,97.32,98.07
4,97.95,Random,0.3,97.67,97.91
5,97.95,Random,0.3,97.08,97.87
6,97.95,Random,0.3,97.26,97.98
7,97.95,Random,0.3,97.6,97.92
8,97.95,Random,0.3,97.34,97.87
9,97.95,Random,0.3,96.8,97.87
10,97.95,Random,0.3,97.54,97.91
11,97.95,Random,0.3,97.6,97.91
12,97.95,Random,0.3,97.33,98.02
13,97.95,Random,0.3,97.56,98.07
14,97.95,Random,0.3,97.31,97.98
15,97.95,Random,0.3,97.24,97.92
16,97.95,Random,0.3,97.63,97.9
17,97.95,Random,0.3,97.09,97.83
18,97.95,Random,0.3,97.43,97.79
19,97.95,Random,0.3,97.52,97.9
20,97.95,Random,0.3,97.54,97.94
21,97.95,Random,0.3,97.34,97.99
22,97.95,Random,0.3,97.42,97.99
23,97.95,Random,0.3,97.72,97.91
24,97.95,Random,0.3,97.48,97.87
25,97.95,Random,0.3,97.44,97.88
26,97.95,Random,0.3,97.44,97.83
27,97.95,Random,0.3,97.27,97.81
28,97.95,Random,0.3,97.56,97.82
29,97.95,Random,0.3,96.97,98.0
30,97.95,Random,0.3,97.37,97.94
31,97.95,Random,0.3,97.45,97.97
32,97.95,Random,0.3,97.24,97.89
33,97.95,Random,0.3,97.17,97.89
34,97.95,Random,0.3,97.5,97.97
35,97.95,Random,0.3,97.37,97.93
36,97.95,Random,0.3,97.68,97.94
37,97.95,Random,0.3,97.28,97.98
38,97.95,Random,0.3,97.43,97.98
39,97.95,Random,0.3,97.58,98.09
40,97.95,Random,0.3,97.2,97.88
41,97.95,Random,0.3,97.32,97.83
42,97.95,Random,0.3,97.67,97.95
43,97.95,Random,0.3,97.5,97.94
44,97.95,Random,0.3,97.28,97.88
45,97.95,Random,0.3,97.54,97.9
46,97.95,Random,0.3,97.83,98.01
47,97.95,Random,0.3,97.54,97.86
48,97.95,Random,0.3,97.0,97.82
49,97.95,Random,0.3,97.4,97.88
50,97.95,Random,0.3,97.31,98.04
51,97.95,Random,0.3,97.57,97.89
52,97.95,Random,0.3,97.17,97.92
53,97.95,Random,0.3,97.55,97.9
54,97.95,Random,0.3,97.45,98.02
55,97.95,Random,0.3,97.39,97.87
56,97.95,Random,0.3,97.59,97.98
57,97.95,Random,0.3,97.57,97.6
58,97.95,Random,0.3,97.38,97.96
59,97.95,Random,0.3,97.22,97.88
60,97.95,Random,0.3,97.41,97.88
61,97.95,Random,0.3,97.83,97.85
62,97.95,Random,0.3,97.24,97.97
63,97.95,Random,0.3,97.37,97.96
64,97.95,Random,0.3,97.45,97.92
65,97.95,Random,0.3,97.63,97.88
66,97.95,Random,0.3,97.11,97.91
67,97.95,Random,0.3,97.27,97.69
68,97.95,Random,0.3,97.4,97.93
69,97.95,Random,0.3,97.48,97.98
70,97.95,Random,0.3,97.63,97.95
71,97.95,Random,0.3,97.54,98.05
72,97.95,Random,0.3,97.6,97.92
73,97.95,Random,0.3,97.35,98.0
74,97.95,Random,0.3,97.34,97.77
75,97.95,Random,0.3,97.67,98.02
76,97.95,Random,0.3,97.57,97.98
77,97.95,Random,0.3,97.6,98.06
78,97.95,Random,0.3,97.58,97.79
79,97.95,Random,0.3,97.1,97.85
80,97.95,Random,0.3,97.31,98.09
81,97.95,Random,0.3,97.13,97.93
82,97.95,Random,0.3,97.45,97.95
83,97.95,Random,0.3,97.28,97.9
84,97.95,Random,0.3,97.52,97.93
85,97.95,Random,0.3,97.2,98.08
86,97.95,Random,0.3,97.57,97.92
87,97.95,Random,0.3,97.59,98.07
88,97.95,Random,0.3,97.51,97.86
89,97.95,Random,0.3,97.33,97.71
90,97.95,Random,0.3,97.53,97.85
91,97.95,Random,0.3,97.57,97.84
92,97.95,Random,0.3,97.63,97.85
93,97.95,Random,0.3,97.44,97.81
94,97.95,Random,0.3,97.47,97.87
95,97.95,Random,0.3,97.36,97.81
96,97.95,Random,0.3,97.54,97.76
97,97.95,Random,0.3,97.53,97.84
98,97.95,Random,0.3,97.79,98.03
99,97.95,Random,0.3,97.62,98.02
100,97.95,Random,0.3,97.23,97.98
