Iteration,Baseline_Accuracy,Method,Prune_Ratio,Accuracy_After_Pruning,Accuracy_After_Finetuning
1,97.96,Random,0.3,97.72,97.99
2,97.96,Random,0.3,97.56,97.84
3,97.96,Random,0.3,97.26,98.01
4,97.96,Random,0.3,97.6,97.85
5,97.96,Random,0.3,97.73,98.0
6,97.96,Random,0.3,97.51,97.95
7,97.96,Random,0.3,97.39,97.93
8,97.96,Random,0.3,97.43,97.83
9,97.96,Random,0.3,97.72,97.86
10,97.96,Random,0.3,97.62,98.02
11,97.96,Random,0.3,97.5,97.85
12,97.96,Random,0.3,97.45,97.99
13,97.96,Random,0.3,97.52,98.02
14,97.96,Random,0.3,97.61,98.04
15,97.96,Random,0.3,97.35,97.99
16,97.96,Random,0.3,97.55,98.0
17,97.96,Random,0.3,97.54,98.0
18,97.96,Random,0.3,97.51,97.94
19,97.96,Random,0.3,97.01,97.97
20,97.96,Random,0.3,97.36,98.02
21,97.96,Random,0.3,97.85,97.95
22,97.96,Random,0.3,97.6,97.93
23,97.96,Random,0.3,97.51,97.88
24,97.96,Random,0.3,97.45,97.96
25,97.96,Random,0.3,97.51,98.08
26,97.96,Random,0.3,97.67,98.06
27,97.96,Random,0.3,97.4,97.89
28,97.96,Random,0.3,97.39,97.97
29,97.96,Random,0.3,97.36,97.87
30,97.96,Random,0.3,97.76,97.91
31,97.96,Random,0.3,97.28,98.02
32,97.96,Random,0.3,97.4,97.87
33,97.96,Random,0.3,97.31,97.91
34,97.96,Random,0.3,97.26,97.89
35,97.96,Random,0.3,97.41,98.07
36,97.96,Random,0.3,97.61,97.81
37,97.96,Random,0.3,97.6,97.95
38,97.96,Random,0.3,97.54,97.83
39,97.96,Random,0.3,97.49,98.01
40,97.96,Random,0.3,97.39,97.94
41,97.96,Random,0.3,97.62,97.93
42,97.96,Random,0.3,97.25,97.94
43,97.96,Random,0.3,97.56,98.06
44,97.96,Random,0.3,97.12,97.95
45,97.96,Random,0.3,97.49,97.99
46,97.96,Random,0.3,97.79,97.77
47,97.96,Random,0.3,97.61,98.01
48,97.96,Random,0.3,97.29,98.06
49,97.96,Random,0.3,97.44,98.07
50,97.96,Random,0.3,97.55,97.91
51,97.96,Random,0.3,97.23,97.84
52,97.96,Random,0.3,97.55,97.83
53,97.96,Random,0.3,97.16,98.01
54,97.96,Random,0.3,97.39,97.92
55,97.96,Random,0.3,97.5,98.0
56,97.96,Random,0.3,97.57,97.88
57,97.96,Random,0.3,97.17,97.97
58,97.96,Random,0.3,97.28,97.93
59,97.96,Random,0.3,97.1,97.99
60,97.96,Random,0.3,97.34,97.86
61,97.96,Random,0.3,97.55,97.94
62,97.96,Random,0.3,97.57,97.83
63,97.96,Random,0.3,97.35,98.14
64,97.96,Random,0.3,97.49,97.94
65,97.96,Random,0.3,97.27,97.86
66,97.96,Random,0.3,97.54,97.94
67,97.96,Random,0.3,97.46,97.91
68,97.96,Random,0.3,97.55,97.96
69,97.96,Random,0.3,97.74,98.0
70,97.96,Random,0.3,97.21,98.05
71,97.96,Random,0.3,97.64,97.89
72,97.96,Random,0.3,97.31,97.8
73,97.96,Random,0.3,97.29,98.01
74,97.96,Random,0.3,97.37,97.94
75,97.96,Random,0.3,97.64,97.9
