Iteration,Baseline_Accuracy,Method,Prune_Ratio,Accuracy_After_Pruning,Accuracy_After_Finetuning
1,50.65,Random,0.3,48.12,50.4
2,50.65,Random,0.3,48.23,50.83
3,50.65,Random,0.3,47.54,51.53
4,50.65,Random,0.3,47.49,50.95
5,50.65,Random,0.3,46.34,51.07
6,50.65,Random,0.3,47.52,51.24
7,50.65,Random,0.3,46.93,51.48
8,50.65,Random,0.3,47.37,51.22
9,50.65,Random,0.3,48.25,50.36
10,50.65,Random,0.3,46.97,51.29
11,50.65,Random,0.3,48.48,51.47
12,50.65,Random,0.3,47.93,51.37
13,50.65,Random,0.3,47.91,50.29
14,50.65,Random,0.3,48.03,51.24
15,50.65,Random,0.3,47.46,51.13
16,50.65,Random,0.3,46.29,51.09
17,50.65,Random,0.3,48.57,51.89
18,50.65,Random,0.3,47.9,50.96
19,50.65,Random,0.3,47.19,51.04
20,50.65,Random,0.3,48.4,50.9
21,50.65,Random,0.3,49.02,50.87
22,50.65,Random,0.3,47.62,51.06
23,50.65,Random,0.3,48.12,51.51
24,50.65,Random,0.3,47.29,50.98
25,50.65,Random,0.3,47.24,51.04
26,50.65,Random,0.3,48.41,51.99
27,50.65,Random,0.3,48.14,51.37
28,50.65,Random,0.3,47.41,50.68
29,50.65,Random,0.3,47.16,51.31
30,50.65,Random,0.3,47.71,50.79
31,50.65,Random,0.3,48.13,50.68
32,50.65,Random,0.3,45.47,51.21
33,50.65,Random,0.3,45.31,50.93
34,50.65,Random,0.3,48.25,51.19
35,50.65,Random,0.3,46.4,51.61
36,50.65,Random,0.3,48.09,51.68
37,50.65,Random,0.3,48.12,51.42
38,50.65,Random,0.3,46.54,50.31
39,50.65,Random,0.3,47.88,51.54
40,50.65,Random,0.3,47.36,51.55
41,50.65,Random,0.3,47.89,50.4
42,50.65,Random,0.3,48.37,51.35
43,50.65,Random,0.3,46.4,51.5
44,50.65,Random,0.3,46.69,51.03
45,50.65,Random,0.3,46.97,50.25
46,50.65,Random,0.3,49.07,50.79
47,50.65,Random,0.3,44.55,50.18
48,50.65,Random,0.3,47.41,50.58
49,50.65,Random,0.3,47.64,50.66
50,50.65,Random,0.3,48.12,50.52
51,50.65,Random,0.3,46.87,50.74
52,50.65,Random,0.3,47.68,51.66
53,50.65,Random,0.3,47.33,51.41
54,50.65,Random,0.3,49.16,51.15
55,50.65,Random,0.3,47.23,50.65
56,50.65,Random,0.3,47.94,50.9
57,50.65,Random,0.3,48.8,51.31
58,50.65,Random,0.3,47.49,50.69
59,50.65,Random,0.3,48.58,50.89
60,50.65,Random,0.3,48.85,50.88
61,50.65,Random,0.3,47.54,51.01
62,50.65,Random,0.3,47.19,50.79
63,50.65,Random,0.3,47.18,51.27
64,50.65,Random,0.3,47.79,50.48
65,50.65,Random,0.3,48.12,51.18
66,50.65,Random,0.3,47.56,51.17
67,50.65,Random,0.3,47.59,50.69
68,50.65,Random,0.3,48.41,51.59
69,50.65,Random,0.3,48.2,51.71
70,50.65,Random,0.3,47.09,51.47
71,50.65,Random,0.3,47.56,50.9
72,50.65,Random,0.3,48.16,50.58
73,50.65,Random,0.3,47.89,51.42
74,50.65,Random,0.3,48.76,50.94
75,50.65,Random,0.3,48.82,50.83
76,50.65,Random,0.3,47.47,51.18
77,50.65,Random,0.3,46.99,51.0
78,50.65,Random,0.3,46.02,49.82
79,50.65,Random,0.3,46.5,50.6
80,50.65,Random,0.3,48.01,51.55
81,50.65,Random,0.3,48.06,50.81
82,50.65,Random,0.3,48.39,50.44
83,50.65,Random,0.3,46.27,51.77
84,50.65,Random,0.3,48.14,51.31
85,50.65,Random,0.3,45.72,50.19
86,50.65,Random,0.3,47.56,50.23
87,50.65,Random,0.3,47.63,52.05
88,50.65,Random,0.3,47.25,51.64
89,50.65,Random,0.3,48.41,51.62
90,50.65,Random,0.3,47.1,50.14
91,50.65,Random,0.3,48.06,51.18
92,50.65,Random,0.3,47.84,51.76
93,50.65,Random,0.3,48.73,51.61
94,50.65,Random,0.3,45.92,51.59
95,50.65,Random,0.3,48.29,50.48
96,50.65,Random,0.3,47.5,51.14
97,50.65,Random,0.3,45.72,51.58
98,50.65,Random,0.3,47.84,50.42
99,50.65,Random,0.3,46.59,51.67
100,50.65,Random,0.3,48.21,50.55
