Iteration,Baseline_Accuracy,Method,Prune_Ratio,Accuracy_After_Pruning,Accuracy_After_Finetuning
1,87.71,Random,0.3,87.05,87.52
2,87.71,Random,0.3,86.54,87.66
3,87.71,Random,0.3,87.15,88.0
4,87.71,Random,0.3,87.16,88.0
5,87.71,Random,0.3,87.2,88.02
6,87.71,Random,0.3,87.25,88.15
7,87.71,Random,0.3,86.43,87.75
8,87.71,Random,0.3,87.14,87.71
9,87.71,Random,0.3,86.94,87.62
10,87.71,Random,0.3,86.98,87.56
11,87.71,Random,0.3,87.02,87.96
12,87.71,Random,0.3,87.01,88.16
13,87.71,Random,0.3,87.2,87.82
14,87.71,Random,0.3,87.01,88.04
15,87.71,Random,0.3,87.0,87.82
16,87.71,Random,0.3,86.58,87.71
17,87.71,Random,0.3,87.29,88.31
18,87.71,Random,0.3,85.82,87.86
19,87.71,Random,0.3,87.51,88.3
20,87.71,Random,0.3,86.87,88.06
21,87.71,Random,0.3,86.88,88.02
22,87.71,Random,0.3,86.83,87.81
23,87.71,Random,0.3,87.27,87.87
24,87.71,Random,0.3,87.23,87.99
25,87.71,Random,0.3,87.13,88.04
26,87.71,Random,0.3,86.64,87.64
27,87.71,Random,0.3,86.59,87.92
28,87.71,Random,0.3,87.27,87.93
29,87.71,Random,0.3,86.47,87.71
30,87.71,Random,0.3,87.09,88.28
31,87.71,Random,0.3,86.83,87.73
32,87.71,Random,0.3,86.95,87.55
33,87.71,Random,0.3,86.73,88.1
34,87.71,Random,0.3,87.2,87.69
35,87.71,Random,0.3,86.66,88.14
36,87.71,Random,0.3,87.25,87.95
37,87.71,Random,0.3,87.06,87.72
38,87.71,Random,0.3,87.23,88.01
39,87.71,Random,0.3,86.94,87.66
40,87.71,Random,0.3,86.72,87.65
41,87.71,Random,0.3,87.03,87.76
42,87.71,Random,0.3,86.74,87.73
43,87.71,Random,0.3,86.76,87.57
44,87.71,Random,0.3,87.04,87.57
45,87.71,Random,0.3,86.88,87.85
46,87.71,Random,0.3,86.93,87.94
47,87.71,Random,0.3,87.03,87.87
48,87.71,Random,0.3,86.96,87.63
49,87.71,Random,0.3,86.87,87.96
50,87.71,Random,0.3,87.34,87.87
51,87.71,Random,0.3,86.61,87.73
52,87.71,Random,0.3,86.63,87.94
53,87.71,Random,0.3,87.05,87.77
54,87.71,Random,0.3,86.58,87.88
55,87.71,Random,0.3,86.81,87.85
56,87.71,Random,0.3,87.1,87.85
57,87.71,Random,0.3,86.38,87.77
58,87.71,Random,0.3,86.59,87.39
59,87.71,Random,0.3,86.88,87.78
60,87.71,Random,0.3,86.88,87.47
61,87.71,Random,0.3,87.37,87.57
62,87.71,Random,0.3,86.68,87.74
63,87.71,Random,0.3,86.77,88.01
64,87.71,Random,0.3,87.08,88.0
65,87.71,Random,0.3,87.19,87.21
66,87.71,Random,0.3,86.95,88.06
67,87.71,Random,0.3,86.68,87.87
68,87.71,Random,0.3,86.28,88.15
69,87.71,Random,0.3,87.28,87.56
70,87.71,Random,0.3,86.87,87.92
71,87.71,Random,0.3,87.1,87.76
72,87.71,Random,0.3,87.25,87.88
73,87.71,Random,0.3,86.44,87.72
74,87.71,Random,0.3,87.07,87.18
75,87.71,Random,0.3,87.14,87.76
76,87.71,Random,0.3,86.74,87.37
77,87.71,Random,0.3,86.54,87.77
78,87.71,Random,0.3,86.89,88.0
79,87.71,Random,0.3,86.94,87.57
80,87.71,Random,0.3,86.96,87.71
81,87.71,Random,0.3,86.85,88.29
82,87.71,Random,0.3,86.86,87.63
83,87.71,Random,0.3,86.45,87.68
84,87.71,Random,0.3,86.85,88.2
85,87.71,Random,0.3,86.55,88.03
86,87.71,Random,0.3,86.28,87.99
87,87.71,Random,0.3,86.68,88.08
88,87.71,Random,0.3,87.17,88.04
89,87.71,Random,0.3,87.11,88.38
90,87.71,Random,0.3,86.91,87.57
91,87.71,Random,0.3,86.66,87.91
92,87.71,Random,0.3,87.32,87.19
93,87.71,Random,0.3,86.57,87.88
94,87.71,Random,0.3,86.88,87.89
95,87.71,Random,0.3,86.68,88.02
96,87.71,Random,0.3,87.11,87.97
97,87.71,Random,0.3,87.66,87.64
98,87.71,Random,0.3,87.08,88.08
99,87.71,Random,0.3,86.98,87.65
100,87.71,Random,0.3,87.19,87.96
