Iteration,Baseline_Accuracy,Method,Prune_Ratio,Accuracy_After_Pruning,Accuracy_After_Finetuning
1,87.81,Random,0.3,86.06,87.58
2,87.81,Random,0.3,86.4,86.85
3,87.81,Random,0.3,86.33,87.37
4,87.81,Random,0.3,86.04,87.76
5,87.81,Random,0.3,86.38,88.03
6,87.81,Random,0.3,85.73,87.32
7,87.81,Random,0.3,85.69,87.01
8,87.81,Random,0.3,86.26,86.6
9,87.81,Random,0.3,85.78,88.03
10,87.81,Random,0.3,85.19,87.85
11,87.81,Random,0.3,86.4,87.29
12,87.81,Random,0.3,85.74,87.64
13,87.81,Random,0.3,86.13,87.26
14,87.81,Random,0.3,85.87,87.51
15,87.81,Random,0.3,86.09,87.11
16,87.81,Random,0.3,86.31,87.69
17,87.81,Random,0.3,85.67,87.47
18,87.81,Random,0.3,86.46,87.89
19,87.81,Random,0.3,85.73,87.55
20,87.81,Random,0.3,85.38,87.45
21,87.81,Random,0.3,86.22,87.27
22,87.81,Random,0.3,86.31,87.66
23,87.81,Random,0.3,86.89,87.35
24,87.81,Random,0.3,85.68,87.35
25,87.81,Random,0.3,86.01,87.52
26,87.81,Random,0.3,85.22,87.38
27,87.81,Random,0.3,86.5,86.8
28,87.81,Random,0.3,86.08,87.75
29,87.81,Random,0.3,86.66,87.41
30,87.81,Random,0.3,85.96,87.56
31,87.81,Random,0.3,85.96,87.65
32,87.81,Random,0.3,86.51,87.3
33,87.81,Random,0.3,86.09,87.52
34,87.81,Random,0.3,86.57,87.71
35,87.81,Random,0.3,86.58,88.17
36,87.81,Random,0.3,86.49,87.43
37,87.81,Random,0.3,86.47,87.64
38,87.81,Random,0.3,86.4,87.34
39,87.81,Random,0.3,86.51,87.85
40,87.81,Random,0.3,87.0,87.26
41,87.81,Random,0.3,85.56,87.56
42,87.81,Random,0.3,86.27,87.79
43,87.81,Random,0.3,86.8,87.4
44,87.81,Random,0.3,85.39,87.79
45,87.81,Random,0.3,86.83,87.81
46,87.81,Random,0.3,85.44,87.72
47,87.81,Random,0.3,85.68,87.46
48,87.81,Random,0.3,86.02,86.75
49,87.81,Random,0.3,85.08,88.14
50,87.81,Random,0.3,86.34,86.95
51,87.81,Random,0.3,85.15,87.45
52,87.81,Random,0.3,85.9,87.33
53,87.81,Random,0.3,85.92,88.13
54,87.81,Random,0.3,86.23,87.12
55,87.81,Random,0.3,85.85,87.24
56,87.81,Random,0.3,85.41,86.98
57,87.81,Random,0.3,85.88,87.37
58,87.81,Random,0.3,85.92,87.14
59,87.81,Random,0.3,86.21,87.7
60,87.81,Random,0.3,86.11,87.24
61,87.81,Random,0.3,86.59,87.34
62,87.81,Random,0.3,86.25,87.75
63,87.81,Random,0.3,85.11,87.59
64,87.81,Random,0.3,86.66,86.86
65,87.81,Random,0.3,86.11,87.53
66,87.81,Random,0.3,86.25,87.71
67,87.81,Random,0.3,86.28,87.56
68,87.81,Random,0.3,85.02,87.63
69,87.81,Random,0.3,86.32,87.45
70,87.81,Random,0.3,85.56,88.03
71,87.81,Random,0.3,86.46,87.43
72,87.81,Random,0.3,85.87,87.35
73,87.81,Random,0.3,86.3,87.73
74,87.81,Random,0.3,86.75,87.81
75,87.81,Random,0.3,85.66,87.41
76,87.81,Random,0.3,86.32,87.39
77,87.81,Random,0.3,86.19,87.77
78,87.81,Random,0.3,86.55,87.21
79,87.81,Random,0.3,85.88,87.95
80,87.81,Random,0.3,85.97,87.95
81,87.81,Random,0.3,86.12,87.23
82,87.81,Random,0.3,86.62,87.33
83,87.81,Random,0.3,86.24,87.4
84,87.81,Random,0.3,86.67,87.52
85,87.81,Random,0.3,85.33,87.61
86,87.81,Random,0.3,86.3,87.22
87,87.81,Random,0.3,85.65,87.27
88,87.81,Random,0.3,85.23,87.72
89,87.81,Random,0.3,86.38,88.2
90,87.81,Random,0.3,86.06,87.98
91,87.81,Random,0.3,86.36,87.2
92,87.81,Random,0.3,87.34,87.43
93,87.81,Random,0.3,85.93,86.97
94,87.81,Random,0.3,86.57,87.78
95,87.81,Random,0.3,86.28,86.84
96,87.81,Random,0.3,86.11,87.48
97,87.81,Random,0.3,86.13,87.54
98,87.81,Random,0.3,85.52,87.4
99,87.81,Random,0.3,86.2,87.83
100,87.81,Random,0.3,86.04,87.3
