Iteration,Baseline_Accuracy,Method,Prune_Ratio,Accuracy_After_Pruning,Accuracy_After_Finetuning
1,97.83,Random,0.3,97.45,97.99
2,97.83,Random,0.3,97.53,98.12
3,97.83,Random,0.3,97.39,97.97
4,97.83,Random,0.3,97.61,98.12
5,97.83,Random,0.3,97.2,97.86
6,97.83,Random,0.3,97.57,97.8
7,97.83,Random,0.3,97.48,98.05
8,97.83,Random,0.3,97.56,97.93
9,97.83,Random,0.3,97.55,98.06
10,97.83,Random,0.3,97.37,97.86
11,97.83,Random,0.3,97.41,97.85
12,97.83,Random,0.3,97.43,97.92
13,97.83,Random,0.3,97.75,97.95
14,97.83,Random,0.3,97.43,97.97
15,97.83,Random,0.3,97.49,97.78
16,97.83,Random,0.3,97.47,97.92
17,97.83,Random,0.3,97.38,98.04
18,97.83,Random,0.3,97.25,97.89
19,97.83,Random,0.3,96.93,97.98
20,97.83,Random,0.3,97.1,97.94
21,97.83,Random,0.3,97.11,97.96
22,97.83,Random,0.3,97.61,97.94
23,97.83,Random,0.3,97.22,97.74
24,97.83,Random,0.3,97.39,97.94
25,97.83,Random,0.3,97.49,97.83
26,97.83,Random,0.3,97.34,97.99
27,97.83,Random,0.3,97.45,97.81
28,97.83,Random,0.3,97.4,97.96
29,97.83,Random,0.3,97.4,97.87
30,97.83,Random,0.3,97.51,97.84
31,97.83,Random,0.3,97.25,97.68
32,97.83,Random,0.3,97.7,98.09
33,97.83,Random,0.3,97.3,97.88
34,97.83,Random,0.3,97.51,97.95
35,97.83,Random,0.3,97.55,97.86
36,97.83,Random,0.3,97.63,97.99
37,97.83,Random,0.3,97.53,97.98
38,97.83,Random,0.3,97.4,97.74
39,97.83,Random,0.3,97.39,98.04
40,97.83,Random,0.3,97.34,97.74
41,97.83,Random,0.3,97.38,98.06
42,97.83,Random,0.3,97.37,98.11
43,97.83,Random,0.3,97.43,97.91
44,97.83,Random,0.3,97.39,97.97
45,97.83,Random,0.3,97.37,97.95
46,97.83,Random,0.3,97.77,98.0
47,97.83,Random,0.3,97.53,97.88
48,97.83,Random,0.3,97.24,97.96
49,97.83,Random,0.3,97.67,98.21
50,97.83,Random,0.3,97.07,97.91
51,97.83,Random,0.3,97.74,97.97
52,97.83,Random,0.3,97.06,97.91
53,97.83,Random,0.3,97.43,97.93
54,97.83,Random,0.3,97.43,97.81
55,97.83,Random,0.3,97.21,97.83
56,97.83,Random,0.3,97.38,98.06
57,97.83,Random,0.3,97.57,97.95
58,97.83,Random,0.3,97.32,98.11
59,97.83,Random,0.3,97.39,97.87
60,97.83,Random,0.3,97.48,97.85
61,97.83,Random,0.3,97.34,97.8
62,97.83,Random,0.3,97.59,98.01
63,97.83,Random,0.3,97.0,98.0
64,97.83,Random,0.3,97.3,97.99
65,97.83,Random,0.3,97.52,98.02
66,97.83,Random,0.3,97.48,97.81
67,97.83,Random,0.3,97.52,98.01
68,97.83,Random,0.3,97.65,97.94
69,97.83,Random,0.3,97.49,98.0
70,97.83,Random,0.3,97.4,98.11
71,97.83,Random,0.3,97.33,98.04
72,97.83,Random,0.3,97.35,98.03
73,97.83,Random,0.3,97.65,97.93
74,97.83,Random,0.3,97.23,97.79
75,97.83,Random,0.3,97.09,97.9
76,97.83,Random,0.3,97.5,98.05
77,97.83,Random,0.3,97.36,97.89
78,97.83,Random,0.3,97.49,97.92
79,97.83,Random,0.3,97.5,98.02
80,97.83,Random,0.3,97.6,98.1
81,97.83,Random,0.3,97.61,97.95
82,97.83,Random,0.3,97.62,97.97
83,97.83,Random,0.3,97.34,97.88
84,97.83,Random,0.3,97.55,97.8
85,97.83,Random,0.3,97.22,97.87
86,97.83,Random,0.3,97.51,97.68
87,97.83,Random,0.3,97.37,98.02
88,97.83,Random,0.3,97.23,97.87
89,97.83,Random,0.3,97.53,98.0
90,97.83,Random,0.3,97.55,97.83
91,97.83,Random,0.3,97.55,97.86
92,97.83,Random,0.3,97.39,97.99
93,97.83,Random,0.3,97.42,97.96
94,97.83,Random,0.3,97.63,97.92
95,97.83,Random,0.3,97.47,97.85
96,97.83,Random,0.3,97.47,98.0
97,97.83,Random,0.3,97.27,98.02
98,97.83,Random,0.3,97.51,97.9
99,97.83,Random,0.3,97.46,98.0
100,97.83,Random,0.3,97.46,97.9
