Iteration,Method,Prune_Ratio,Baseline_Candidate_Acc,Accuracy_After_Finetuning,Training_Time_sec,Compression_Rate,Params,Baseline_Accuracy,Baseline_FLOPs,Pruned_FLOPs
147,Random,0.2,87.2,89.01,40.236265420913696,1.2548862445280227,162190.0,89.18,203264.0,
334,Random,0.2,87.35,89.36,40.36941742897034,1.2548862445280227,162190.0,89.18,203264.0,
857,Random,0.2,87.8,89.43,40.81084227561951,1.2548862445280227,162190.0,89.18,203264.0,
405,Random,0.2,87.2,89.08,40.38745093345642,1.2548862445280227,162190.0,89.18,203264.0,
476,Random,0.2,87.15,89.71,40.464755058288574,1.2548862445280227,162190.0,89.18,203264.0,
182,Random,0.2,86.85,89.43,39.999913692474365,1.2548862445280227,162190.0,89.18,203264.0,
396,Random,0.2,86.8,89.87,40.07537388801575,1.2548862445280227,162190.0,89.18,203264.0,
311,Random,0.2,86.8,89.37,40.1015739440918,1.2548862445280227,162190.0,89.18,203264.0,
25,Random,0.2,86.85,89.23,40.006545305252075,1.2548862445280227,162190.0,89.18,203264.0,
472,Random,0.2,86.85,89.27,40.047118186950684,1.2548862445280227,162190.0,89.18,203264.0,
659,Random,0.2,86.75,89.51,39.9050669670105,1.2548862445280227,162190.0,89.18,203264.0,
66,Random,0.2,86.65,89.58,39.95285201072693,1.2548862445280227,162190.0,89.18,203264.0,
660,Random,0.2,86.75,89.62,40.04648399353027,1.2548862445280227,162190.0,89.18,203264.0,
198,Random,0.2,86.6,88.37,39.90904903411865,1.2548862445280227,162190.0,89.18,203264.0,
691,Random,0.2,86.6,89.15,39.94977569580078,1.2548862445280227,162190.0,89.18,203264.0,
180,Random,0.2,86.5,89.55,39.79999303817749,1.2548862445280227,162190.0,89.18,203264.0,
19,Random,0.2,86.35,89.86,39.80809473991394,1.2548862445280227,162190.0,89.18,203264.0,
517,Random,0.2,86.35,89.58,39.853394985198975,1.2548862445280227,162190.0,89.18,203264.0,
739,Random,0.2,86.45,88.22,39.99392533302307,1.2548862445280227,162190.0,89.18,203264.0,
115,Random,0.2,86.4,88.8,39.99846053123474,1.2548862445280227,162190.0,89.18,203264.0,
234,Random,0.2,86.35,89.89,39.838634729385376,1.2548862445280227,162190.0,89.18,203264.0,
508,Random,0.2,86.3,89.07,39.908968448638916,1.2548862445280227,162190.0,89.18,203264.0,
164,Random,0.2,86.3,88.84,39.882490396499634,1.2548862445280227,162190.0,89.18,203264.0,
281,Random,0.2,86.3,89.65,39.81438064575195,1.2548862445280227,162190.0,89.18,203264.0,
842,Random,0.2,86.3,89.47,39.96431088447571,1.2548862445280227,162190.0,89.18,203264.0,
176,Random,0.2,86.25,89.61,40.00421452522278,1.2548862445280227,162190.0,89.18,203264.0,
895,Random,0.2,86.25,89.72,39.72608017921448,1.2548862445280227,162190.0,89.18,203264.0,
481,Random,0.2,86.2,89.58,39.80906820297241,1.2548862445280227,162190.0,89.18,203264.0,
308,Random,0.2,86.25,89.15,40.06700396537781,1.2548862445280227,162190.0,89.18,203264.0,
316,Random,0.2,86.2,89.35,39.88230276107788,1.2548862445280227,162190.0,89.18,203264.0,
670,Random,0.2,86.2,89.2,39.88693284988403,1.2548862445280227,162190.0,89.18,203264.0,
94,Random,0.2,86.15,88.91,39.894328117370605,1.2548862445280227,162190.0,89.18,203264.0,
225,Random,0.2,86.15,89.82,39.82103443145752,1.2548862445280227,162190.0,89.18,203264.0,
521,Random,0.2,86.1,89.69,39.987664222717285,1.2548862445280227,162190.0,89.18,203264.0,
235,Random,0.2,86.15,89.18,39.76196336746216,1.2548862445280227,162190.0,89.18,203264.0,
558,Random,0.2,86.1,89.04,40.041980504989624,1.2548862445280227,162190.0,89.18,203264.0,
283,Random,0.2,86.1,89.35,39.99644899368286,1.2548862445280227,162190.0,89.18,203264.0,
300,Random,0.2,86.1,88.94,39.96784210205078,1.2548862445280227,162190.0,89.18,203264.0,
803,Random,0.2,86.05,89.21,39.756078481674194,1.2548862445280227,162190.0,89.18,203264.0,
871,Random,0.2,86.1,89.89,40.0214946269989,1.2548862445280227,162190.0,89.18,203264.0,
820,Random,0.2,86.05,89.46,39.9886474609375,1.2548862445280227,162190.0,89.18,203264.0,
872,Random,0.2,86.05,89.62,39.99290180206299,1.2548862445280227,162190.0,89.18,203264.0,
883,Random,0.2,86.05,89.93,39.97212791442871,1.2548862445280227,162190.0,89.18,203264.0,
693,Random,0.2,86.05,89.38,39.86548709869385,1.2548862445280227,162190.0,89.18,203264.0,
134,Random,0.2,86.0,89.37,40.218990087509155,1.2548862445280227,162190.0,89.18,203264.0,
426,Random,0.2,86.0,89.03,39.90407061576843,1.2548862445280227,162190.0,89.18,203264.0,
654,Random,0.2,86.0,88.63,39.92836022377014,1.2548862445280227,162190.0,89.18,203264.0,
666,Random,0.2,86.0,89.14,39.86504912376404,1.2548862445280227,162190.0,89.18,203264.0,
719,Random,0.2,86.0,89.67,39.838836669921875,1.2548862445280227,162190.0,89.18,203264.0,
841,Random,0.2,85.95,89.73,39.966779470443726,1.2548862445280227,162190.0,89.18,203264.0,
880,Random,0.2,85.95,89.7,40.001633405685425,1.2548862445280227,162190.0,89.18,203264.0,
886,Random,0.2,85.95,89.18,39.90754699707031,1.2548862445280227,162190.0,89.18,203264.0,
636,Random,0.2,85.95,89.42,39.942089796066284,1.2548862445280227,162190.0,89.18,203264.0,
737,Random,0.2,85.95,88.83,40.07540154457092,1.2548862445280227,162190.0,89.18,203264.0,
929,Random,0.2,85.9,88.09,39.924519300460815,1.2548862445280227,162190.0,89.18,203264.0,
782,Random,0.2,85.9,89.36,39.94216322898865,1.2548862445280227,162190.0,89.18,203264.0,
458,Random,0.2,85.85,89.86,39.852771520614624,1.2548862445280227,162190.0,89.18,203264.0,
3,Random,0.2,85.85,88.79,39.95024871826172,1.2548862445280227,162190.0,89.18,203264.0,
573,Random,0.2,85.85,89.61,39.96451926231384,1.2548862445280227,162190.0,89.18,203264.0,
835,Random,0.2,85.85,89.38,40.03388166427612,1.2548862445280227,162190.0,89.18,203264.0,
608,Random,0.2,85.85,89.45,39.474313735961914,1.2548862445280227,162190.0,89.18,203264.0,
266,Random,0.2,85.8,88.59,39.90618681907654,1.2548862445280227,162190.0,89.18,203264.0,
634,Random,0.2,85.8,89.13,40.059799909591675,1.2548862445280227,162190.0,89.18,203264.0,
732,Random,0.2,85.8,88.82,39.999942779541016,1.2548862445280227,162190.0,89.18,203264.0,
