Iteration,Method,Prune_Ratio,Baseline_Candidate_Acc,Accuracy_After_Finetuning,Training_Time_sec,Compression_Rate,Params,Baseline_Accuracy,Baseline_FLOPs,Pruned_FLOPs
282,Random,0.2,97.05,97.83,40.1732439994812,1.2548862445280227,162190.0,97.89,203264.0,
399,Random,0.2,97.05,98.18,40.32284212112427,1.2548862445280227,162190.0,97.89,203264.0,
620,Random,0.2,97.1,97.99,41.06716704368591,1.2548862445280227,162190.0,97.89,203264.0,
137,Random,0.2,97.0,97.82,40.28148293495178,1.2548862445280227,162190.0,97.89,203264.0,
699,Random,0.2,97.15,97.91,41.74504590034485,1.2548862445280227,162190.0,97.89,203264.0,
468,Random,0.2,97.0,97.91,40.2191002368927,1.2548862445280227,162190.0,97.89,203264.0,
968,Random,0.2,97.05,97.87,40.70872735977173,1.2548862445280227,162190.0,97.89,203264.0,
464,Random,0.2,97.0,98.05,40.564746379852295,1.2548862445280227,162190.0,97.89,203264.0,
209,Random,0.2,96.95,98.14,39.307392597198486,1.2548862445280227,162190.0,97.89,203264.0,
307,Random,0.2,97.0,98.13,39.813602924346924,1.2548862445280227,162190.0,97.89,203264.0,
373,Random,0.2,96.95,98.07,39.41940903663635,1.2548862445280227,162190.0,97.89,203264.0,
487,Random,0.2,96.95,97.99,39.49355602264404,1.2548862445280227,162190.0,97.89,203264.0,
255,Random,0.2,96.95,97.98,39.62107706069946,1.2548862445280227,162190.0,97.89,203264.0,
619,Random,0.2,96.95,98.11,39.717061042785645,1.2548862445280227,162190.0,97.89,203264.0,
215,Random,0.2,96.95,97.91,39.90276074409485,1.2548862445280227,162190.0,97.89,203264.0,
931,Random,0.2,96.9,97.75,39.864259243011475,1.2548862445280227,162190.0,97.89,203264.0,
253,Random,0.2,96.9,97.99,39.92014837265015,1.2548862445280227,162190.0,97.89,203264.0,
319,Random,0.2,96.9,97.72,39.77339744567871,1.2548862445280227,162190.0,97.89,203264.0,
67,Random,0.2,96.85,98.06,39.908796310424805,1.2548862445280227,162190.0,97.89,203264.0,
136,Random,0.2,96.9,97.7,39.818119287490845,1.2548862445280227,162190.0,97.89,203264.0,
214,Random,0.2,96.9,97.99,40.11150574684143,1.2548862445280227,162190.0,97.89,203264.0,
442,Random,0.2,96.9,97.7,40.004318952560425,1.2548862445280227,162190.0,97.89,203264.0,
702,Random,0.2,96.9,97.89,39.89401364326477,1.2548862445280227,162190.0,97.89,203264.0,
519,Random,0.2,96.9,97.84,40.12316632270813,1.2548862445280227,162190.0,97.89,203264.0,
628,Random,0.2,96.85,98.09,39.72752356529236,1.2548862445280227,162190.0,97.89,203264.0,
334,Random,0.2,96.85,98.09,39.89967346191406,1.2548862445280227,162190.0,97.89,203264.0,
543,Random,0.2,96.85,98.16,39.93130898475647,1.2548862445280227,162190.0,97.89,203264.0,
299,Random,0.2,96.8,98.14,39.95676350593567,1.2548862445280227,162190.0,97.89,203264.0,
765,Random,0.2,96.85,97.97,40.14656090736389,1.2548862445280227,162190.0,97.89,203264.0,
