Iteration,Method,Prune_Ratio,Baseline_Candidate_Acc,Accuracy_After_Finetuning,Training_Time_sec,Compression_Rate,Params,Baseline_Accuracy,Baseline_FLOPs
532,Random,0.3,88.75,88.86,42.712698459625244,1.4301373713241752,142315.0,88.71,203264.0
523,Random,0.3,88.55,88.79,42.131996870040894,1.4301373713241752,142315.0,88.71,203264.0
492,Random,0.3,88.75,88.89,43.233978033065796,1.4301373713241752,142315.0,88.71,203264.0
635,Random,0.3,88.55,88.88,43.10672307014465,1.4301373713241752,142315.0,88.71,203264.0
962,Random,0.3,88.95,89.1,44.23110818862915,1.4301373713241752,142315.0,88.71,203264.0
364,Random,0.3,88.55,88.78,44.447896003723145,1.4301373713241752,142315.0,88.71,203264.0
87,Random,0.3,88.8,88.57,45.105706214904785,1.4301373713241752,142315.0,88.71,203264.0
260,Random,0.3,88.45,88.8,41.46385192871094,1.4301373713241752,142315.0,88.71,203264.0
623,Random,0.3,88.4,89.21,41.45509433746338,1.4301373713241752,142315.0,88.71,203264.0
464,Random,0.3,88.4,89.35,42.09930419921875,1.4301373713241752,142315.0,88.71,203264.0
392,Random,0.3,88.3,89.02,42.480255365371704,1.4301373713241752,142315.0,88.71,203264.0
195,Random,0.3,88.3,88.79,43.24937343597412,1.4301373713241752,142315.0,88.71,203264.0
562,Random,0.3,88.3,89.12,43.29893970489502,1.4301373713241752,142315.0,88.71,203264.0
984,Random,0.3,88.3,88.5,44.34395384788513,1.4301373713241752,142315.0,88.71,203264.0
790,Random,0.3,88.3,88.64,41.90200352668762,1.4301373713241752,142315.0,88.71,203264.0
340,Random,0.3,88.25,88.69,41.98954176902771,1.4301373713241752,142315.0,88.71,203264.0
245,Random,0.3,88.25,89.11,42.050729513168335,1.4301373713241752,142315.0,88.71,203264.0
389,Random,0.3,88.25,88.8,43.358701944351196,1.4301373713241752,142315.0,88.71,203264.0
638,Random,0.3,88.25,88.63,43.40614295005798,1.4301373713241752,142315.0,88.71,203264.0
764,Random,0.3,88.25,88.58,43.08801078796387,1.4301373713241752,142315.0,88.71,203264.0
776,Random,0.3,88.25,88.29,45.35019659996033,1.4301373713241752,142315.0,88.71,203264.0
855,Random,0.3,88.25,88.22,41.90972352027893,1.4301373713241752,142315.0,88.71,203264.0
114,Random,0.3,88.25,89.09,42.091792821884155,1.4301373713241752,142315.0,88.71,203264.0
390,Random,0.3,88.2,88.94,41.90167760848999,1.4301373713241752,142315.0,88.71,203264.0
437,Random,0.3,88.2,88.86,42.95735025405884,1.4301373713241752,142315.0,88.71,203264.0
487,Random,0.3,88.2,88.67,42.98765850067139,1.4301373713241752,142315.0,88.71,203264.0
898,Random,0.3,88.2,88.96,42.54965853691101,1.4301373713241752,142315.0,88.71,203264.0
738,Random,0.3,88.2,88.02,43.701902866363525,1.4301373713241752,142315.0,88.71,203264.0
193,Random,0.3,88.15,88.58,41.84697508811951,1.4301373713241752,142315.0,88.71,203264.0
510,Random,0.3,88.15,89.03,42.57568430900574,1.4301373713241752,142315.0,88.71,203264.0
526,Random,0.3,88.15,88.97,42.091062784194946,1.4301373713241752,142315.0,88.71,203264.0
608,Random,0.3,88.15,88.51,43.27466559410095,1.4301373713241752,142315.0,88.71,203264.0
698,Random,0.3,88.15,88.7,42.77385473251343,1.4301373713241752,142315.0,88.71,203264.0
914,Random,0.3,88.15,88.6,42.93332767486572,1.4301373713241752,142315.0,88.71,203264.0
977,Random,0.3,88.15,88.27,43.04303169250488,1.4301373713241752,142315.0,88.71,203264.0
982,Random,0.3,88.15,88.68,42.14395308494568,1.4301373713241752,142315.0,88.71,203264.0
748,Random,0.3,88.15,89.0,42.45290279388428,1.4301373713241752,142315.0,88.71,203264.0
384,Random,0.3,88.1,88.7,41.85228681564331,1.4301373713241752,142315.0,88.71,203264.0
671,Random,0.3,88.1,88.59,42.279072523117065,1.4301373713241752,142315.0,88.71,203264.0
99,Random,0.3,88.1,88.66,42.0529522895813,1.4301373713241752,142315.0,88.71,203264.0
936,Random,0.3,88.1,89.04,43.39199137687683,1.4301373713241752,142315.0,88.71,203264.0
322,Random,0.3,88.05,89.11,43.16632676124573,1.4301373713241752,142315.0,88.71,203264.0
339,Random,0.3,88.05,88.72,41.20522975921631,1.4301373713241752,142315.0,88.71,203264.0
369,Random,0.3,88.05,88.58,41.78099966049194,1.4301373713241752,142315.0,88.71,203264.0
405,Random,0.3,88.05,88.7,40.479656457901,1.4301373713241752,142315.0,88.71,203264.0
188,Random,0.3,88.05,88.83,41.534188985824585,1.4301373713241752,142315.0,88.71,203264.0
204,Random,0.3,88.05,88.64,41.25860381126404,1.4301373713241752,142315.0,88.71,203264.0
528,Random,0.3,88.05,89.24,44.37146210670471,1.4301373713241752,142315.0,88.71,203264.0
626,Random,0.3,88.05,88.77,44.851806640625,1.4301373713241752,142315.0,88.71,203264.0
997,Random,0.3,88.05,88.71,41.72233295440674,1.4301373713241752,142315.0,88.71,203264.0
